"Features","Importance","Gene_Symbol"
"224632_at",0.000348692555078172,"GPATCH4"
"213580_at",0.000347629464472973,"CREBZF"
"232303_at",0.00034704802613286,"ZNF608"
"207832_at",0.000346646386989335,"BAIAP2"
"1557710_at",0.000346564777331328,NA
"218123_at",0.000345835569252286,"CFAP298"
"213273_at",0.000345816025500553,"TENM4"
"1559413_at",0.000345745959041338,"TCP11L2"
"240296_at",0.000344378524652945,NA
"223843_at",0.000344112510226535,"SCARA3"
"1552588_a_at",0.000343847543445367,"CNBD1"
"1564050_at",0.000343472396232468,"RDM1P5"
"202109_at",0.000341905472178297,"ARFIP2"
"1557575_at",0.000341767548946308,"STBD1"
"AFFX-BioB-5_at",0.000341613470269543,NA
"1557172_x_at",0.000341398385561705,"NEK8"
"218090_s_at",0.00033830223774515,"WDR11"
